Datetime,Max_Temperature,Min_Temperature,Rainfall,Relative_Humidity
2014-01-01 00:00:00,25.3,24.6,0.0,75.0
2014-01-01 01:00:00,26.2,23.4,0.0,94.0
2014-01-01 02:00:00,28.0,22.7,0.0,79.0
2014-01-01 03:00:00,28.4,24.1,0.0,86.0
2014-01-01 04:00:00,29.3,24.5,0.0,76.0
2014-01-01 05:00:00,30.1,24.8,0.0,79.0
2014-01-01 06:00:00,25.1,22.3,2.8,76.0
2014-01-01 07:00:00,25.3,22.2,5.0,78.0
2014-01-01 08:00:00,28.6,24.0,2.2,91.0
2014-01-01 09:00:00,25.3,24.9,0.0,78.0
2014-01-01 10:00:00,31.3,23.5,0.0,79.0
2014-01-01 11:00:00,25.0,24.5,0.0,75.0
2014-01-01 12:00:00,29.0,24.2,0.0,91.0
2014-01-01 13:00:00,29.3,23.1,0.0,94.0
2014-01-01 14:00:00,27.0,24.3,0.0,92.0
2014-01-01 15:00:00,29.8,25.0,0.0,91.0
2014-01-01 16:00:00,31.0,24.7,0.0,88.0
2014-01-01 17:00:00,26.1,24.4,0.0,76.0
2014-01-01 18:00:00,25.5,22.6,0.0,80.0
2014-01-01 19:00:00,31.0,24.3,0.0,82.0
2014-01-01 20:00:00,28.9,24.1,0.0,75.0
2014-01-01 21:00:00,27.7,24.5,0.0,91.0
2014-01-01 22:00:00,30.7,24.8,0.0,95.0
2014-01-01 23:00:00,28.3,23.1,0.0,83.0
2014-01-02 00:00:00,31.4,22.6,0.0,77.0
2014-01-02 01:00:00,30.8,22.2,0.0,87.0
2014-01-02 02:00:00,27.9,24.3,0.0,80.0
2014-01-02 03:00:00,26.1,22.6,0.0,93.0
2014-01-02 04:00:00,27.8,24.2,0.0,90.0
2014-01-02 05:00:00,26.2,24.2,0.0,78.0
2014-01-02 06:00:00,29.9,24.6,0.0,79.0
2014-01-02 07:00:00,29.3,24.5,0.0,78.0
2014-01-02 08:00:00,30.0,22.7,0.0,87.0
2014-01-02 09:00:00,29.3,23.6,0.0,91.0
2014-01-02 10:00:00,28.0,23.9,0.0,78.0
2014-01-02 11:00:00,27.9,24.8,16.0,85.0
2014-01-02 12:00:00,31.3,23.2,0.0,86.0
2014-01-02 13:00:00,29.9,23.7,7.6,75.0
