time,wind_speed,wind_dir,wd_cat
2023-06-01 00:00:00,7,100,E
2023-06-01 01:00:00,7,107,E
2023-06-01 02:00:00,8,114,SE
2023-06-01 03:00:00,9,120,SE
2023-06-01 04:00:00,10,129,SE
2023-06-01 05:00:00,10,133,SE
2023-06-01 06:00:00,10,132,SE
2023-06-01 07:00:00,10,129,SE
2023-06-01 08:00:00,10,127,SE
2023-06-01 09:00:00,9,124,SE
2023-06-01 10:00:00,9,126,SE
2023-06-01 11:00:00,10,122,SE
2023-06-01 12:00:00,10,123,SE
2023-06-01 13:00:00,9,121,SE
2023-06-01 14:00:00,8,121,SE
2023-06-01 15:00:00,8,126,SE
2023-06-01 16:00:00,8,131,SE
2023-06-01 17:00:00,8,126,SE
2023-06-01 18:00:00,8,123,SE
2023-06-01 19:00:00,8,118,SE
2023-06-01 20:00:00,8,109,E
2023-06-01 21:00:00,8,104,E
2023-06-01 22:00:00,8,111,E
2023-06-01 23:00:00,8,112,E
2023-06-02 00:00:00,7,116,SE
2023-06-02 01:00:00,7,118,SE
2023-06-02 02:00:00,8,119,SE
2023-06-02 03:00:00,8,120,SE
2023-06-02 04:00:00,8,119,SE
2023-06-02 05:00:00,8,114,SE
2023-06-02 06:00:00,8,118,SE
2023-06-02 07:00:00,8,123,SE
2023-06-02 08:00:00,9,119,SE
2023-06-02 09:00:00,9,114,SE
2023-06-02 10:00:00,11,107,E
2023-06-02 11:00:00,11,110,E
2023-06-02 12:00:00,11,116,SE
2023-06-02 13:00:00,12,119,SE
2023-06-02 14:00:00,12,119,SE
2023-06-02 15:00:00,13,117,SE
2023-06-02 16:00:00,13,122,SE
2023-06-02 17:00:00,14,128,SE
2023-06-02 18:00:00,14,131,SE
2023-06-02 19:00:00,13,128,SE
2023-06-02 20:00:00,14,122,SE
2023-06-02 21:00:00,13,121,SE
2023-06-02 22:00:00,8,111,E
2023-06-02 23:00:00,7,106,E
2023-06-03 00:00:00,7,99,E
2023-06-03 01:00:00,7,86,E
2023-06-03 02:00:00,8,80,E
2023-06-03 03:00:00,8,82,E
2023-06-03 04:00:00,9,86,E
2023-06-03 05:00:00,8,92,E
2023-06-03 06:00:00,7,100,E
2023-06-03 07:00:00,7,110,E
2023-06-03 08:00:00,7,116,SE
2023-06-03 09:00:00,8,121,SE
2023-06-03 10:00:00,8,126,SE
2023-06-03 11:00:00,9,127,SE
2023-06-03 12:00:00,9,131,SE
2023-06-03 13:00:00,10,132,SE
2023-06-03 14:00:00,11,131,SE
2023-06-03 15:00:00,12,129,SE
2023-06-03 16:00:00,12,125,SE
2023-06-03 17:00:00,13,121,SE
2023-06-03 18:00:00,14,120,SE
2023-06-03 19:00:00,14,121,SE
2023-06-03 20:00:00,14,121,SE
2023-06-03 21:00:00,14,120,SE
2023-06-03 22:00:00,14,119,SE
2023-06-03 23:00:00,13,117,SE
2023-06-04 00:00:00,12,118,SE
2023-06-04 01:00:00,12,120,SE
2023-06-04 02:00:00,12,121,SE
2023-06-04 03:00:00,12,123,SE
2023-06-04 04:00:00,13,123,SE
2023-06-04 05:00:00,12,125,SE
2023-06-04 06:00:00,12,124,SE
2023-06-04 07:00:00,12,120,SE
2023-06-04 08:00:00,12,118,SE
2023-06-04 09:00:00,12,116,SE
2023-06-04 10:00:00,12,116,SE
2023-06-04 11:00:00,12,118,SE
2023-06-04 12:00:00,12,121,SE
2023-06-04 13:00:00,11,123,SE
2023-06-04 14:00:00,11,125,SE
2023-06-04 15:00:00,10,127,SE
2023-06-04 16:00:00,10,125,SE
2023-06-04 17:00:00,10,122,SE
2023-06-04 18:00:00,10,119,SE
2023-06-04 19:00:00,10,116,SE
2023-06-04 20:00:00,10,111,E
2023-06-04 21:00:00,10,105,E
2023-06-04 22:00:00,11,108,E
2023-06-04 23:00:00,10,110,E
2023-06-05 00:00:00,10,113,SE
2023-06-05 01:00:00,9,112,E
2023-06-05 02:00:00,9,110,E
2023-06-05 03:00:00,8,111,E
2023-06-05 04:00:00,7,113,SE
2023-06-05 05:00:00,7,115,SE
2023-06-05 06:00:00,6,119,SE
2023-06-05 07:00:00,5,123,SE
2023-06-05 08:00:00,5,125,SE
2023-06-05 09:00:00,5,125,SE
2023-06-05 10:00:00,3,141,SE
2023-06-05 11:00:00,3,155,SE
2023-06-05 12:00:00,3,153,SE
2023-06-05 13:00:00,3,150,SE
2023-06-05 14:00:00,3,160,S
2023-06-05 15:00:00,3,178,S
2023-06-05 16:00:00,4,181,S
2023-06-05 17:00:00,4,173,S
2023-06-05 18:00:00,3,162,S
2023-06-05 19:00:00,2,149,SE
2023-06-05 20:00:00,2,137,SE
2023-06-05 21:00:00,2,132,SE
2023-06-05 22:00:00,3,140,SE
2023-06-05 23:00:00,4,129,SE
2023-06-06 00:00:00,4,93,E
2023-06-06 01:00:00,5,66,NE
2023-06-06 02:00:00,6,64,NE
2023-06-06 03:00:00,5,78,E
2023-06-06 04:00:00,4,108,E
2023-06-06 05:00:00,5,115,SE
2023-06-06 06:00:00,6,117,SE
2023-06-06 07:00:00,6,126,SE
2023-06-06 08:00:00,7,123,SE
2023-06-06 09:00:00,6,98,E
2023-06-06 10:00:00,3,106,E
2023-06-06 11:00:00,5,145,SE
2023-06-06 12:00:00,4,141,SE
2023-06-06 13:00:00,3,130,SE
2023-06-06 14:00:00,4,128,SE
2023-06-06 15:00:00,4,123,SE
2023-06-06 16:00:00,4,123,SE
2023-06-06 17:00:00,4,124,SE
2023-06-06 18:00:00,5,121,SE
2023-06-06 19:00:00,5,113,SE
2023-06-06 20:00:00,6,117,SE
2023-06-06 21:00:00,7,114,SE
2023-06-06 22:00:00,8,109,E
2023-06-06 23:00:00,6,96,E
2023-06-07 00:00:00,7,74,E
2023-06-07 01:00:00,9,68,E
2023-06-07 02:00:00,10,71,E
2023-06-07 03:00:00,9,66,NE
