PRES,HGHT,TEMP,DWPT,FRPT,RELH,RELI,MIXR,DRCT,SKNT,THTA,THTE,THTV
1005,18,30.3,,,,,,270,7,303,,303
1004.9,19,30.3,,,,,,270,7,303,,303
1000,58,30,23,23,66,66,18.05,275,6,303.1,357,306.4
973.1,300,27.6,20.6,20.6,66,66,15.92,275,6,303.1,350.5,305.9
940.7,600,24.5,17.5,17.5,65,65,13.57,270,4,302.9,343.3,305.4
925,749,23,16,16,65,65,12.51,110,4,302.8,340.1,305.1
915,844,22,0,0,23,23,4.2,138,3,302.7,315.8,303.5
909.1,900,21.6,1.1,1.1,26,26,4.58,155,2,302.9,317.1,303.8
852,1460,18,12,12,68,68,10.44,121,4,304.8,336.3,306.7
850,1480,17.8,11.8,11.8,68,68,10.33,120,4,304.8,336,306.7
848,1500,17.7,11.7,11.7,68,68,10.28,120,4,304.9,335.9,306.8
790.1,2100,14.6,8.6,8.6,67,67,8.97,85,4,307.8,335.4,309.5
740,2656,11.8,5.8,5.8,67,67,7.87,153,6,310.6,335.1,312
728,2793,12.2,9.2,9.2,82,82,10.13,170,7,312.4,344,314.4
710.2,3000,11.6,6,6,69,69,8.35,195,8,314,340.3,315.5
700,3122,11.2,4.2,4.2,62,62,7.44,195,8,314.9,338.5,316.3
664,3563,10,5,5,71,71,8.3,246,6,318.3,344.9,319.9
614.5,4200,6.2,-0.8,-0.7,61,61,5.93,320,4,321,340.5,322.2
565,4889,2,-7,-6.2,51,51,4.02,257,5,323.9,337.5,324.7
534,5343,0,-6,-5.3,64,64,4.6,214,6,326.8,342.4,327.7
520,5557,0,-13,-11.6,37,37,2.72,194,6,329.3,338.8,329.8
500,5870,-1.5,-26.5,-23.9,13,13,0.88,165,7,331.1,334.5,331.3
405.7,7500,-9.6,-42,-38.5,5,6,0.23,170,9,341.1,342.1,341.1
400,7610,-10.1,-43.1,-39.5,5,5,0.21,170,9,341.8,342.7,341.8
378,8009,-12.3,-36.3,-33,12,13,0.46,175,11,344.4,346.3,344.5
341.5,8700,-21.3,-49.2,-45.3,6,8,0.13,185,15,342.3,342.9,342.3
315,9251,-28.5,-59.5,-55.3,3,5,0.04,191,13,340.3,340.5,340.3
300,9570,-31.7,-60.7,-56.5,4,5,0.04,195,11,340.6,340.8,340.6
286,9900,-34.7,-63.5,-59.2,4,5,0.03,200,17,341,341.1,341
262.2,10500,-40.1,-68.6,-64.3,3,5,0.01,245,16,341.6,341.7,341.6
251.1,10800,-42.8,-71.1,-66.8,3,4,0.01,250,19,341.8,341.9,341.8
250,10830,-43.1,-71.4,-67.1,3,4,0.01,250,19,341.9,341.9,341.9
237,11202,-46.5,-74.5,-70.2,3,4,0.01,252,27,342,342,342
220,11714,-48.3,,,,,,256,37,346.6,,346.6
200,12360,-53.1,,,,,,260,51,348.5,,348.5
151.4,14100,-66.6,,,,,,275,64,354.1,,354.1
150,14160,-67.1,,,,,,275,64,354.3,,354.3
145,14366,-68.9,,,,,,277,63,354.6,,354.6
117.4,15600,-77.9,,,,,,290,55,360,,360
105,16254,-82.7,,,,,,276,50,362.6,,362.6
101,16474,-82.3,,,,,,271,48,367.4,,367.4
100.5,16500,-82.5,,,,,,270,48,367.6,,367.6
100,16530,-82.7,,,,,,,,367.7,,367.7
95.5,16786,-84.1,,,,,,,,369.8,,369.8
89.5,17149,-79.1,,,,,,,,386.7,,386.7
77,18001,-80.1,,,,,,,,401.6,,401.6
70,18544,-76.8,,,,,,230,5,419.8,,419.8
68,18710,-75.9,,,,,,217,6,425.2,,425.2
64.5,19017,-70.1,,,,,,194,9,444.4,,444.4
57,19748,-69.1,,,,,,138,14,462.6,,462.6
55,19962,-65.5,,,,,,122,16,475.6,,475.6
52.5,20242,-66.7,,,,,,102,18,479.2,,479.2
50,20537,-63.6,,,,,,80,20,493.2,,493.2
48.7,20700,-62,,,,,,80,20,500.8,,500.8
48,20787,-61.1,,,,,,80,19,504.9,,504.9
44.2,21300,-59.9,,,,,,80,13,519.8,,519.8
40.2,21900,-58.5,,,,,,110,21,537.6,,537.6
31.6,23400,-55.1,,,,,,70,33,585,,585
30.1,23700,-54.4,,,,,,70,32,594.9,,594.9
30,23732,-54.3,,,,,,70,32,596,,596
28,24173,-55.3,,,,,,,,605.1,,605.1
25,24902,-51.3,,,,,,,,636.5,,636.5
23,25443,-52.1,,,,,,,,649.5,,649.5
